Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,55,3,12.4,2.0,3.8,.541,0.0,0.0,0,2.0,3.8,.541,.541,1.0,1.9,.515,1.3,2.3,3.6,0.5,0.3,0.5,0.7,1.6,5.0
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,56,56,28.0,3.4,5.4,.620,0.0,0.1,.000,3.4,5.4,.627,.620,1.1,2.4,.444,3.8,5.2,9.0,1.9,0.9,0.7,1.4,2.0,7.8
Bam Adebayo,C,23,MIA,54,54,33.5,7.2,12.7,.566,0.0,0.1,.250,7.2,12.6,.570,.568,4.6,5.7,.803,2.3,6.9,9.1,5.3,1.1,1.1,2.7,2.2,19.1
LaMarcus Aldridge,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
LaMarcus Aldridge,C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
Ty-Shon Alexander,SG,22,PHO,9,0,3.2,0.2,1.1,.200,0.1,0.8,.143,0.1,0.3,.333,.250,0.1,0.2,.500,0.1,0.4,0.6,0.1,0.0,0.1,0.1,0.1,0.7
Nickeil Alexander-Walker,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
Grayson Allen,SG,25,MEM,45,33,25.6,3.6,8.5,.428,2.3,5.7,.405,1.3,2.8,.476,.564,1.6,1.9,.857,0.3,2.9,3.2,2.2,1.0,0.2,1.0,1.4,11.2
Jarrett Allen,C,22,TOT,50,32,29.0,4.7,7.4,.636,0.1,0.3,.385,4.6,7.2,.645,.643,3.4,4.7,.715,2.9,6.9,9.8,1.6,0.5,1.5,1.5,1.6,12.9
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,38,27,29.7,5.1,8.1,.627,0.1,0.3,.385,4.9,7.7,.638,.636,3.2,4.6,.701,2.9,6.8,9.7,1.6,0.4,1.5,1.4,1.6,13.4
Al-Farouq Aminu,PF,30,TOT,20,14,19.6,1.8,4.6,.391,0.4,1.7,.212,1.5,3.0,.492,.429,0.8,1.0,.842,1.0,4.0,5.0,1.5,0.9,0.5,1.4,1.3,4.8
Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
Al-Farouq Aminu,PF,30,CHI,3,0,8.0,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,3.0,3.0,0.3,0.0,0.0,0.7,1.0,0.7
Kyle Anderson,PF,27,MEM,56,56,27.4,4.4,9.6,.459,1.3,3.9,.343,3.1,5.8,.537,.528,2.0,2.6,.779,0.8,5.2,6.0,3.6,1.3,0.8,1.2,1.8,12.2
Giannis Antetokounmpo,PF,26,MIL,50,50,33.6,10.3,18.2,.566,1.1,3.6,.300,9.2,14.6,.632,.596,6.8,10.0,.679,1.7,9.6,11.3,6.0,1.2,1.3,3.7,2.7,28.4
Kostas Antetokounmpo,PF,23,LAL,14,0,3.8,0.2,0.7,.300,0.0,0.0,0,0.2,0.7,.300,.300,0.4,0.9,.462,0.3,1.1,1.4,0.1,0.1,0.3,0.7,0.5,0.9
Thanasis Antetokounmpo,SF,28,MIL,47,2,10.4,1.4,2.7,.524,0.1,0.5,.292,1.3,2.2,.578,.552,0.4,0.8,.462,1.1,1.4,2.5,0.9,0.4,0.2,0.9,1.4,3.3
Carmelo Anthony,PF,36,POR,58,3,25.0,4.8,11.6,.413,1.8,4.7,.389,3.0,6.9,.430,.493,2.1,2.4,.878,0.5,2.7,3.2,1.6,0.7,0.6,1.0,2.1,13.6
Cole Anthony,PG,20,ORL,34,21,26.6,4.3,11.2,.387,1.1,3.5,.303,3.3,7.7,.425,.434,1.9,2.4,.825,0.9,3.6,4.5,4.2,0.7,0.4,1.9,2.1,11.6
OG Anunoby,SF,23,TOR,39,39,33.2,5.5,11.6,.479,2.4,6.0,.402,3.1,5.6,.562,.583,1.9,2.4,.777,1.3,4.3,5.6,2.0,1.6,0.7,1.8,2.8,15.4
Ryan Arcidiacono,PG,26,CHI,35,0,10.9,1.1,2.8,.394,0.5,1.6,.316,0.6,1.2,.500,.485,0.3,0.5,.750,0.1,1.5,1.6,1.4,0.2,0.0,0.2,1.2,3.1
Trevor Ariza,SF,35,MIA,20,17,27.0,2.9,7.3,.393,1.5,4.2,.357,1.4,3.1,.443,.497,1.1,1.4,.750,0.8,3.8,4.5,1.8,0.7,0.6,0.6,1.7,8.3
D.J. Augustin,PG,33,TOT,51,6,19.2,2.2,5.6,.385,1.3,3.5,.374,0.8,2.1,.402,.502,1.4,1.5,.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0
D.J. Augustin,PG,33,MIL,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
